block,Condition,rt_mean,rt_n,rt_sd,rt_se,rt_95_lower,rt_95_upper
1,RANDREG,1.7853031953522152,18,0.046710326660122856,0.011009729577603884,1.7637241253801115,1.8068822653243188
1,TARGET,1.7496141975308643,18,0.09271754232683205,0.02185373430475123,1.7067808782935519,1.7924475167681768
1.5,RANDREG,1.779732510288066,18,0.05323089806028631,0.012546642995692765,1.755141090016508,1.8043239305596237
2,RANDREG,1.7730210602759624,18,0.044626512975411745,0.010518569981874367,1.7524046631114887,1.7936374574404361
2,TARGET,1.698533950617284,18,0.08417362595290685,0.019839913902786804,1.6596477193678218,1.7374201818667463
2.5,RANDREG,1.7476772712883826,18,0.03954970040138032,0.009321953782570782,1.729406241874544,1.7659483007022212
3,RANDREG,1.7615468409586057,18,0.06066164091886756,0.014298085883878202,1.7335225926262043,1.789571089291007
3,TARGET,1.655246913580247,18,0.04712012115646955,0.011106319066690441,1.6334785282095337,1.6770152989509604
