block	 condition	 toneNum	 transition
1	 2	 1	 79
 1	 2	 2	 79
 1	 2	 3	 79
 1	 2	 4	 79
 1	 2	 5	 79
 1	 2	 6	 79
 1	 2	 7	 79
 1	 2	 8	 79
 1	 2	 9	 79
 1	 2	 10	 79
 1	 2	 11	 79
 1	 2	 12	 79
 1	 2	 13	 79
 1	 2	 14	 79
 1	 2	 15	 79
 1	 2	 16	 79
 1	 2	 17	 79
 1	 2	 18	 79
 1	 2	 19	 79
 1	 2	 20	 79
 1	 2	 21	 79
 1	 2	 22	 79
 1	 2	 23	 79
 1	 2	 24	 79
 1	 2	 25	 79
 1	 2	 26	 79
 1	 2	 27	 79
 1	 2	 28	 79
 1	 2	 29	 79
 1	 2	 30	 79
 1	 2	 31	 79
 1	 2	 32	 79
 1	 2	 33	 79
 1	 2	 34	 79
 1	 2	 35	 79
 1	 2	 36	 79
 1	 2	 37	 79
 1	 2	 38	 79
 1	 2	 39	 79
 1	 2	 40	 79
 1	 2	 41	 79
 1	 2	 42	 79
 1	 2	 43	 79
 1	 2	 44	 79
 1	 2	 45	 79
 1	 2	 46	 79
 1	 2	 47	 79
 1	 2	 48	 79
 1	 2	 49	 79
 1	 2	 50	 79
 1	 2	 51	 79
 1	 2	 52	 79
 1	 2	 53	 79
 1	 2	 54	 79
 1	 2	 55	 79
 1	 2	 56	 79
 1	 2	 57	 79
 1	 2	 58	 79
 1	 2	 59	 79
 1	 2	 60	 79
 1	 2	 61	 79
 1	 2	 62	 79
 1	 2	 63	 79
 1	 2	 64	 79
 1	 2	 65	 79
 1	 2	 66	 79
 1	 2	 67	 79
 1	 2	 68	 79
 1	 2	 69	 79
 1	 2	 70	 79
 1	 2	 71	 79
 1	 2	 72	 79
 1	 2	 73	 79
 1	 2	 74	 79
 1	 2	 75	 79
 1	 2	 76	 79
 1	 2	 77	 79
 1	 2	 78	 79
 1	 2	 79	 79
 1	 2	 80	 79
 1	 2	 81	 79
 1	 2	 82	 79
 1	 2	 83	 79
 1	 2	 84	 79
 1	 2	 85	 79
 1	 2	 86	 79
 1	 2	 87	 79
 1	 2	 88	 79
 1	 2	 89	 79
 1	 2	 90	 79
 1	 2	 91	 79
 1	 2	 92	 79
 1	 2	 93	 79
 1	 2	 94	 79
 1	 2	 95	 79
 1	 2	 96	 79
 1	 2	 97	 79
 1	 2	 98	 79
 1	 2	 99	 79
 1	 2	 100	 79
 1	 2	 101	 79
 1	 2	 102	 79
 1	 2	 103	 79
 1	 2	 104	 79
 1	 2	 105	 79
 1	 2	 106	 79
 1	 2	 107	 79
 1	 2	 108	 79
 1	 2	 109	 79
 1	 2	 110	 79
 1	 2	 111	 79
 1	 2	 112	 79
 1	 2	 113	 79
 1	 2	 114	 79
 1	 2	 115	 79
 1	 2	 116	 79
 1	 2	 117	 79
 1	 2	 118	 79
 1	 2	 119	 79
 1	 2	 120	 79
 1	 2	 121	 79
 1	 2	 122	 79
 1	 2	 123	 79
 1	 2	 124	 79
 1	 2	 125	 79
 1	 2	 126	 79
 1	 2	 127	 79
 1	 2	 128	 79
 1	 2	 129	 79
 1	 2	 130	 79
 1	 2	 131	 79
 1	 2	 132	 79
 1	 2	 133	 79
 1	 2	 134	 79
 1	 2	 135	 79
 1	 2	 136	 79
 1	 2	 137	 79
 1	 2	 138	 79
 1	 2	 139	 79
 1	 2	 140	 79
 1	 2	 1	 7.100000e+01
 1	 2	 2	 7.100000e+01
 1	 2	 3	 7.100000e+01
 1	 2	 4	 7.100000e+01
