"subj"	"block"	"trialN"	"setID"	"RTs"	"cond"	"bsl"	"RTadj"	"RTlog"	"rep"	"day"
"1"	"3"	20	102	1.9624	"RANDREG"	0.29225	1.67015	0.222755477882209	1	"day1"
"1"	"3"	22	92	2.4427	"RANDREG"	0.29225	2.15045	0.332529349249312	2	"day1"
"1"	"3"	24	51	1.6536	"RANDREG"	0.29225	1.36135	0.133969795686192	2	"day1"
"1"	"3"	30	27	2.5037	"RANDREG"	0.29225	2.21145	0.344677124592092	2	"day1"
"1"	"3"	32	75	2.1735	"RANDREG"	0.29225	1.88125	0.274446512937919	2	"day1"
"1"	"3"	36	47	1.9859	"RANDREG"	0.29225	1.69365	0.2288236664589	2	"day1"
"1"	"3"	37	50	1.8172	"RANDREG"	0.29225	1.52495	0.18325560428603	2	"day1"
"1"	"3"	38	88	2.4844	"RANDREG"	0.29225	2.19215	0.34087026785223	3	"day1"
"1"	"3"	40	67	1.9516	"RANDREG"	0.29225	1.65935	0.219937999669232	3	"day1"
"1"	"3"	49	14	2.249	"RANDREG"	0.29225	1.95675	0.291535342491921	3	"day1"
"1"	"3"	50	104	2.8973	"RANDREG"	0.29225	2.60505	0.415816063342147	3	"day1"
"1"	"3"	59	101	2.1216	"RANDREG"	0.29225	1.82935	0.262296804725603	3	"day1"
"1"	"3"	4	38	2.6852	"TARGET"	0.29225	2.39295	0.378933624250314	1	"day1"
"1"	"3"	5	32	2.1287	"TARGET"	0.29225	1.83645	0.263979108548615	1	"day1"
"1"	"3"	23	38	2.2994	"TARGET"	0.29225	2.00715	0.302579829756056	2	"day1"
"1"	"3"	28	32	1.5723	"TARGET"	0.29225	1.28005	0.107226933944736	2	"day1"
"1"	"3"	41	24	1.9355	"TARGET"	0.29225	1.64325	0.215703640952405	2	"day1"
"1"	"3"	42	38	2.0359	"TARGET"	0.29225	1.74365	0.241459314126761	3	"day1"
"1"	"3"	53	32	1.8063	"TARGET"	0.29225	1.51405	0.180140217545519	3	"day1"
"1"	"3"	55	24	2.0141	"TARGET"	0.29225	1.72185	0.235995314940087	3	"day1"
"1"	"4"	6	22	2.1177	"RANDREG"	0.347833333333333	1.76986666666667	0.247940549914325	1	"day1"
"1"	"4"	8	77	2.1275	"RANDREG"	0.347833333333333	1.77966666666667	0.250338666138247	1	"day1"
"1"	"4"	9	52	2.0031	"RANDREG"	0.347833333333333	1.65526666666667	0.218867969430519	1	"day1"
"1"	"4"	12	70	2.0468	"RANDREG"	0.347833333333333	1.69896666666667	0.230184858195273	1	"day1"
"1"	"4"	21	18	1.7721	"RANDREG"	0.347833333333333	1.42426666666667	0.153591310241419	1	"day1"
"1"	"4"	29	9	1.8087	"RANDREG"	0.347833333333333	1.46086666666667	0.164610579675997	1	"day1"
"1"	"4"	30	30	1.8162	"RANDREG"	0.347833333333333	1.46836666666667	0.166834517042081	2	"day1"
"1"	"4"	31	93	2.1809	"RANDREG"	0.347833333333333	1.83306666666667	0.263178260073488	2	"day1"
"1"	"4"	36	48	1.9962	"RANDREG"	0.347833333333333	1.64836666666667	0.217053823621842	2	"day1"
"1"	"4"	37	78	2.0543	"RANDREG"	0.347833333333333	1.70646666666667	0.232097809389275	2	"day1"
"1"	"4"	47	46	1.5886	"RANDREG"	0.347833333333333	1.24076666666667	0.0936901175931186	2	"day1"
"1"	"4"	53	108	2.3719	"RANDREG"	0.347833333333333	2.02406666666667	0.306224812757013	3	"day1"
"1"	"4"	55	94	1.8901	"RANDREG"	0.347833333333333	1.54226666666667	0.188159472190295	3	"day1"
"1"	"4"	57	53	2.3443	"RANDREG"	0.347833333333333	1.99646666666667	0.300262063539333	3	"day1"
"1"	"4"	59	42	1.8852	"RANDREG"	0.347833333333333	1.53736666666667	0.186777460420209	3	"day1"
"1"	"4"	60	45	2.7249	"RANDREG"	0.347833333333333	2.37706666666667	0.376041362022439	3	"day1"
"1"	"4"	3	38	2.4835	"TARGET"	0.347833333333333	2.13566666666667	0.329533469272199	1	"day1"
"1"	"4"	10	32	1.9037	"TARGET"	0.347833333333333	1.55586666666667	0.191972376450563	1	"day1"
"1"	"4"	26	24	2.3146	"TARGET"	0.347833333333333	1.96676666666667	0.293752839131341	1	"day1"
"1"	"4"	39	32	2.2822	"TARGET"	0.347833333333333	1.93436666666667	0.286538799745264	2	"day1"
"1"	"4"	42	38	2.1559	"TARGET"	0.347833333333333	1.80806666666667	0.257214439652443	3	"day1"
"1"	"4"	48	32	1.5461	"TARGET"	0.347833333333333	1.19826666666667	0.0785534782989417	3	"day1"
"1"	"4"	58	24	2.35	"TARGET"	0.347833333333333	2.00216666666667	0.301500226690202	3	"day1"
"1"	"5"	5	105	2.3606	"RANDREG"	0.3027	2.0579	0.313424267169193	1	"day1"
"1"	"5"	8	64	1.6788	"RANDREG"	0.3027	1.3761	0.138649994851645	1	"day1"
"1"	"5"	14	29	2.1056	"RANDREG"	0.3027	1.8029	0.255971638728724	1	"day1"
"1"	"5"	20	41	1.3047	"RANDREG"	0.3027	1.002	0.000867721531226913	1	"day1"
"1"	"5"	29	25	1.5746	"RANDREG"	0.3027	1.2719	0.104452967322291	1	"day1"
"1"	"5"	36	103	1.4673	"RANDREG"	0.3027	1.1646	0.0661767857720065	1	"day1"
"1"	"5"	39	62	2.0143	"RANDREG"	0.3027	1.7116	0.233402277811895	2	"day1"
"1"	"5"	40	90	1.9656	"RANDREG"	0.3027	1.6629	0.220866133312124	2	"day1"
"1"	"5"	41	54	1.7387	"RANDREG"	0.3027	1.436	0.157154439906282	2	"day1"
"1"	"5"	42	49	1.9047	"RANDREG"	0.3027	1.602	0.204662511748219	2	"day1"
"1"	"5"	43	81	2.2516	"RANDREG"	0.3027	1.9489	0.289789555606911	2	"day1"
"1"	"5"	46	58	1.9143	"RANDREG"	0.3027	1.6116	0.20725725871634	3	"day1"
"1"	"5"	47	57	2.1964	"RANDREG"	0.3027	1.8937	0.27731117917403	3	"day1"
"1"	"5"	49	17	1.9212	"RANDREG"	0.3027	1.6185	0.209112703738592	3	"day1"
"1"	"5"	58	20	1.4963	"RANDREG"	0.3027	1.1936	0.0768588101285936	3	"day1"
"1"	"5"	60	16	2.1677	"RANDREG"	0.3027	1.865	0.270678836144706	3	"day1"
"1"	"5"	9	38	1.7157	"TARGET"	0.3027	1.413	0.150142161848559	1	"day1"
"1"	"5"	10	24	1.9603	"TARGET"	0.3027	1.6576	0.219479738065139	1	"day1"
"1"	"5"	13	32	2.5431	"TARGET"	0.3027	2.2404	0.350325563996703	1	"day1"
"1"	"5"	18	38	1.732	"TARGET"	0.3027	1.4293	0.155123393710712	2	"day1"
"1"	"5"	27	38	1.7917	"TARGET"	0.3027	1.489	0.172894697752176	3	"day1"
"1"	"5"	30	24	2.281	"TARGET"	0.3027	1.9783	0.296292150994862	3	"day1"
"1"	"6"	1	60	1.7896	"RANDREG"	0.348	1.4416	0.158844773634988	1	"day2"
"1"	"6"	3	1	1.8123	"RANDREG"	0.348	1.4643	0.165630062376184	1	"day2"
"1"	"6"	4	84	1.6197	"RANDREG"	0.348	1.2717	0.104384671287884	1	"day2"
"1"	"6"	5	79	2.2156	"RANDREG"	0.348	1.8676	0.271283865258768	1	"day2"
"1"	"6"	12	7	1.9289	"RANDREG"	0.348	1.5809	0.198904399456732	1	"day2"
"1"	"6"	23	43	1.7742	"RANDREG"	0.348	1.4262	0.154180432111824	1	"day2"
"1"	"6"	27	36	1.9716	"RANDREG"	0.348	1.6236	0.210479042645248	2	"day2"
"1"	"6"	29	5	1.5503	"RANDREG"	0.348	1.2023	0.0800128471079278	2	"day2"
"1"	"6"	32	86	2.0791	"RANDREG"	0.348	1.7311	0.238322156375554	2	"day2"
