"subj"	"RANDREG_1_day1"	"RANDREG_2_day1"	"RANDREG_3_day1"	"RANDREG_4_day1"	"RANDREG_5_day1"	"TARGET_1_day1"	"TARGET_2_day1"	"TARGET_3_day1"	"TARGET_4_day1"	"TARGET_5_day1"
"1"	1.80977156862745	1.73658888888889	1.80475980392157	1.70071458333333	1.49789509803921	1.95898333333333	1.64680833333333	1.71485833333333	1.67555833333333	1.46173333333333
"2"	1.42568594771242	1.53237013888889	1.50985138888889	1.51999444444445	1.55088594771242	1.42723888888889	1.51813888888889	1.46691388888889	1.37802638888889	1.46853888888889
"3"	1.8186454248366	1.80062777777778	1.79138111111111	1.58978777777778	1.88092777777778	1.83565634920635	1.77377222222222	2.02508333333334	1.59838333333334	1.64013888888889
"4"	1.67143098039215	1.56960083333333	1.66462509803921	1.36246333333333	1.38869333333333	1.81588	1.67468	1.39575777777777	1.34601333333333	1.30093555555555
"8"	1.83919509803921	1.81853333333333	1.78566666666666	1.74425208333333	1.76701274509804	1.57254583333333	1.65690555555555	1.58322083333333	1.53702777777777	1.46777222222222
"9"	1.77987352941176	1.73932777777778	1.63527941176471	1.62303235294118	1.71379117647059	1.56826428571429	1.49808333333333	1.3051	1.49788333333333	1.48191666666667
"10"	1.96562777777778	1.73684411764706	1.63355625	1.706925	1.72034411764706	1.73343888888889	1.552775	1.59830555555556	1.57583888888889	1.67359444444444
"11"	1.56409632352941	1.66666470588235	1.62352352941176	1.81622549019608	1.76955326797385	1.71200168067227	1.66474632352941	1.4821477124183	1.30993660130719	1.39441437908497
"12"	1.79073888888889	1.60317222222223	1.60281666666667	1.59675196078432	1.62887291666667	2.07989166666667	1.38358333333334	1.29819444444445	1.34077222222223	1.23088333333334
"13"	1.90937516339869	1.61924722222222	1.6036	1.58381111111111	1.43798692810457	1.63750972222222	1.52636666666666	1.14996666666666	1.10735555555555	1.18069722222222
"14"	1.85663055555556	1.73552430555556	1.83321732026144	1.9575820261438	1.83004305555556	1.74988055555556	1.63718333333334	1.44863888888889	1.64771805555556	1.67262777777778
"15"	1.97856	2.336475	2.25695882352941	2.16104375	2.12304	1.85301111111111	1.92507777777778	1.81488888888889	1.70815	1.59641111111111
"16"	1.75567777777778	1.67459444444445	1.56217222222222	1.72377777777778	1.73678954248366	1.68634027777778	1.48189027777778	1.28318888888889	1.31084444444445	1.21842222222222
"18"	1.70235833333333	1.85875555555555	1.78970686274509	1.95607745098039	1.93517777777777	1.77357083333333	1.51146111111111	1.60486111111111	1.66368333333333	1.72334047619047
"19"	1.53080666666666	1.61468333333333	1.80625833333333	1.73613333333333	1.88698666666666	1.47189583333333	1.71922222222222	1.52860833333333	1.53536666666666	1.80259047619047
"20"	1.49335972222222	1.50662222222222	1.40941045751634	1.44739869281046	1.49977516339869	1.63547777777778	1.40734722222222	1.36208472222222	1.41315555555555	1.35518888888889
"21"	1.93736666666667	1.65169920634921	1.60800718954249	1.69503111111111	1.63427189542484	2.01149027777778	1.57176527777778	1.51848888888889	1.53092222222222	1.41875555555556
"22"	1.66859882352941	1.63376352941176	1.7079525	1.7328025	1.5128525	1.62195111111111	1.4794025	1.44014	1.31371777777778	1.36784
"23"	1.91137254901961	1.92446041666667	1.87838541666667	1.8485	1.48757291666667	1.69182916666667	1.44046666666667	1.24695555555556	1.20631666666667	1.30666666666667
