"subj"	"RANREG_1"	"RANREG_2"	"RANREG_3"	"RANREG_4"	"RANREG_5"	"RANREGr_1"	"RANREGr_2"	"RANREGr_3"	"RANREGr_4"	"RANREGr_5"	"REPinRAN_1"	"REPinRAN_2"	"REPinRAN_3"	"REPinRAN_4"	"REPinRANr_1"	"REPinRANr_2"	"REPinRANr_3"	"REPinRANr_4"	"REPinRANr_5"
1	1.10646333333333	0.855113333333333	0.969122857142857	0.9322425	0.842326666666667	1.22583	0.832063333333333	0.961837142857143	0.843735555555556	0.804235555555556	1.22298	1.04533	1.32243	1.02724666666667	1.13839666666667	0.99272	1.15611333333333	0.92394	0.7652175
2	0.378650285714286	0.678711	0.629061	0.762786	0.76066725	0.500480444444444	0.595269333333333	0.569269333333333	0.418491555555556	0.509702666666667	0.610416	1.005286	0.779769333333333	1.207936	0.956936	0.904664571428571	1.09296933333333	0.653186	0.805693142857143
3	0.238219111111111	0.464496888888889	0.444430222222222	0.519674666666667	0.504684470588235	0.144330222222222	0.301641333333333	0.437508	0.469519111111111	0.376830222222222	0.907674666666667	1.136633	1.06233657142857	1.422033	0.741141333333333	1.126268	1.036408	1.1145955	0.406574666666667
4	0.61256	1.25433777777778	1.18376	0.96146	0.944393333333333	0.558085	0.8935475	0.789626666666667	1.104085	0.901888571428571	0.781885	0.82046	1.17866	0.98208	0.75086	1.38641	0.91642	1.11796	0.80116
5	0.0695897777777778	0.746283428571429	0.501926285714286	0.795240571428571	0.807756444444444	0.254169142857143	0.6705745	0.704100888888889	0.481340571428571	0.639226285714286	0.616562	0.680672	0.870445333333333	1.089652	0.836612	0.999432	0.943312	0.972732	0.916100888888889
6	0.796586285714286	0.861800571428571	0.821038666666667	0.821605333333333	0.709160888888889	0.7457845	0.550497	0.543760888888889	0.636783111111111	0.508205333333333	0.568872	0.883312	1.097892	0.884372	0.815752	0.909986285714286	0.700505333333333	0.949043428571429	0.654497
7	0.3055715	0.682972888888889	0.5626215	0.462409	0.427678117647059	0.357261777777778	0.3849715	0.342150666666667	0.357006222222222	0.310228444444444	0.416684	0.840909	0.672817333333333	0.826826857142857	0.749484	0.5576715	0.740895111111111	0.737634	0.374528444444444
8	0.425551428571429	0.501557777777778	0.598194285714286	0.507465714285714	0.61203	0.339308571428571	0.57478	0.4316675	0.373024444444444	0.38613	0.75412	0.76928	0.75078	1.06173	0.8013	0.26968	0.737655	0.70148	0.630435555555556
9	0.545098666666667	0.4432695	0.529832	0.596657	0.62970075	0.221015333333333	0.332287555555556	0.2576695	0.434857	0.409487555555556	-0.174918	0.166332	0.582757	0.775682	0.490532	NA	0.516092	-0.435018	0.6050195
10	0.3569305	0.685488	0.706268	0.5382305	0.452362117647059	0.427434666666667	0.474290222222222	0.312823555555556	0.470243	0.5847055	0.589868	0.448201333333333	0.703618	0.586443	0.916868	0.603268	0.852348	0.425368	0.3785555
